,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
fc1_bias[0],3.146,12.418,-13.068,35.458,5.226,3.905,6.0,13.0,1.97
fc1_bias[1],0.69,25.262,-24.405,49.817,12.072,9.18,5.0,22.0,2.17
fc1_bias[2],-7.663,17.47,-35.478,23.113,7.906,5.963,6.0,18.0,2.01
fc1_bias[3],-0.906,15.739,-38.244,18.279,7.058,5.317,5.0,16.0,2.23
fc1_bias[4],0.288,29.534,-51.835,41.976,13.703,10.373,5.0,11.0,2.82
fc1_bias[5],-0.857,16.941,-23.122,35.224,7.97,6.046,5.0,11.0,2.47
fc1_bias[6],-4.403,8.102,-16.566,9.281,3.217,2.543,7.0,18.0,1.84
fc1_bias[7],-17.26,26.747,-52.309,20.422,12.805,9.74,5.0,20.0,2.38
fc1_bias[8],1.306,24.777,-37.213,61.881,11.89,9.047,4.0,13.0,3.18
fc1_bias[9],-5.727,20.739,-32.449,28.05,9.543,7.215,6.0,18.0,2.0
fc1_bias[10],-6.566,17.471,-31.977,18.705,8.389,6.384,5.0,15.0,2.52
fc1_bias[11],-11.201,7.937,-25.956,3.891,2.911,2.145,8.0,12.0,1.47
fc1_bias[12],11.37,17.164,-16.105,38.665,7.911,5.982,5.0,16.0,2.23
fc1_bias[13],-15.596,21.708,-59.093,11.122,8.644,7.336,11.0,24.0,1.61
fc1_bias[14],-9.317,24.715,-56.034,21.767,10.434,8.352,7.0,19.0,1.63
fc1_bias[15],-8.373,20.785,-59.387,27.212,9.047,6.788,6.0,11.0,1.9
fc1_bias[16],-7.874,19.528,-37.643,24.373,8.713,6.559,5.0,14.0,2.31
fc1_bias[17],-10.402,27.314,-43.539,37.828,13.22,10.073,5.0,46.0,2.27
fc1_bias[18],5.916,18.342,-23.545,32.208,7.39,5.713,7.0,44.0,1.79
fc1_bias[19],5.595,17.9,-19.18,34.14,8.461,6.423,5.0,40.0,2.43
fc1_bias[20],-22.815,14.323,-47.393,6.641,5.562,4.12,6.0,31.0,1.72
fc1_bias[21],-15.812,17.009,-48.546,3.789,7.725,6.018,6.0,18.0,1.77
fc1_bias[22],14.667,20.315,-15.35,48.929,9.432,7.14,6.0,13.0,2.13
fc1_bias[23],-4.392,26.045,-33.064,43.572,11.916,9.001,5.0,19.0,2.08
fc1_bias[24],-1.686,22.412,-35.746,29.057,10.401,7.873,5.0,27.0,2.03
fc1_bias[25],-4.754,28.143,-46.718,45.632,11.774,8.792,6.0,21.0,1.85
fc1_bias[26],-5.589,16.121,-31.452,21.103,7.374,5.57,5.0,26.0,2.12
fc1_bias[27],-4.488,12.62,-21.057,19.321,5.211,3.885,7.0,29.0,1.86
fc1_bias[28],12.673,13.122,-17.112,36.563,5.578,4.173,6.0,12.0,1.96
fc1_bias[29],2.85,12.9,-10.748,25.576,5.837,4.402,6.0,28.0,1.79
fc1_bias[30],10.969,15.982,-28.227,37.569,6.932,5.199,5.0,15.0,2.09
fc1_bias[31],0.101,10.861,-12.181,21.345,4.953,3.74,5.0,17.0,2.27
