,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
fc1_bias[0],-13.533,13.832,-36.958,3.925,5.804,4.335,6.0,37.0,1.88
fc1_bias[1],-4.957,18.805,-33.136,28.505,8.982,6.83,5.0,36.0,2.24
fc1_bias[2],-21.046,21.362,-50.405,18.722,7.616,5.598,11.0,61.0,1.36
fc1_bias[3],-3.867,28.245,-52.266,43.885,13.106,9.921,5.0,22.0,2.26
fc1_bias[4],21.542,18.313,0.151,56.476,7.18,5.324,7.0,18.0,1.56
fc1_bias[5],-9.164,17.549,-45.192,8.639,8.543,6.516,5.0,21.0,2.65
fc1_bias[6],15.17,14.96,-8.873,39.338,6.878,5.2,5.0,30.0,2.14
fc1_bias[7],14.616,21.401,-22.963,49.448,10.006,7.583,5.0,34.0,2.62
fc1_bias[8],9.144,10.238,-5.553,28.593,4.619,3.483,6.0,20.0,1.95
fc1_bias[9],-0.374,23.67,-39.088,39.538,11.097,8.413,5.0,26.0,2.18
fc1_bias[10],-5.428,22.027,-36.725,39.198,10.546,8.022,5.0,39.0,2.36
fc1_bias[11],7.407,17.997,-25.025,32.694,8.732,6.656,5.0,30.0,2.24
fc1_bias[12],-12.922,16.771,-43.112,24.854,7.168,5.366,6.0,16.0,1.84
fc1_bias[13],-7.355,16.103,-31.435,22.91,7.161,5.388,6.0,20.0,1.93
fc1_bias[14],-3.761,27.238,-53.184,50.527,12.722,9.64,5.0,14.0,2.29
fc1_bias[15],5.472,21.92,-32.874,42.743,10.341,7.848,5.0,26.0,2.32
fc1_bias[16],-5.091,23.347,-49.279,32.577,11.178,8.502,5.0,26.0,2.97
fc1_bias[17],-1.782,20.804,-38.691,36.932,9.711,7.357,5.0,34.0,2.5
fc1_bias[18],-24.027,28.154,-76.791,24.562,12.487,9.393,5.0,12.0,2.14
fc1_bias[19],7.668,16.088,-7.348,40.203,7.769,5.918,5.0,28.0,2.26
fc1_bias[20],-3.75,9.882,-22.554,11.049,4.102,3.06,6.0,23.0,1.89
fc1_bias[21],6.173,24.466,-42.217,44.672,11.523,8.742,5.0,27.0,2.45
fc1_bias[22],4.802,16.605,-16.396,39.887,7.562,5.709,5.0,31.0,2.39
fc1_bias[23],-4.888,7.015,-17.864,3.533,3.421,2.61,5.0,25.0,2.53
fc1_bias[24],23.909,16.486,0.806,47.543,7.36,5.541,6.0,42.0,1.77
fc1_bias[25],13.645,35.117,-41.572,105.858,15.687,11.811,5.0,11.0,2.57
fc1_bias[26],5.895,31.867,-36.838,58.05,15.389,11.722,5.0,24.0,2.25
fc1_bias[27],-4.975,33.903,-66.268,49.422,16.215,12.332,5.0,22.0,2.66
fc1_bias[28],-12.811,11.271,-31.378,4.492,4.171,3.076,7.0,23.0,1.6
fc1_bias[29],6.85,18.938,-27.401,32.072,9.235,7.045,5.0,36.0,2.34
fc1_bias[30],3.273,20.361,-37.595,32.299,9.796,7.457,5.0,20.0,2.54
fc1_bias[31],2.532,38.466,-49.83,83.527,18.285,13.892,5.0,26.0,2.34
fc1_bias[32],-7.888,17.642,-35.604,21.143,7.908,5.957,6.0,27.0,1.81
fc1_bias[33],8.395,16.349,-8.646,43.693,7.518,5.684,5.0,31.0,2.25
fc1_bias[34],-13.219,12.128,-42.764,0.438,4.757,3.527,7.0,18.0,1.54
fc1_bias[35],8.018,18.543,-30.72,30.937,8.818,6.7,6.0,47.0,1.83
fc1_bias[36],10.11,18.885,-27.453,36.726,8.664,6.548,7.0,44.0,1.62
fc1_bias[37],5.561,21.501,-39.452,40.547,10.065,7.629,5.0,26.0,2.41
fc1_bias[38],15.748,24.749,-18.417,54.486,11.951,9.103,5.0,24.0,2.37
fc1_bias[39],2.153,22.925,-28.364,42.941,10.784,8.18,5.0,20.0,2.25
fc1_bias[40],7.451,12.921,-8.599,33.052,4.721,3.478,7.0,78.0,1.63
fc1_bias[41],4.695,16.324,-24.343,30.516,7.198,5.41,6.0,31.0,1.81
fc1_bias_precision,0.002,0.001,0.001,0.004,0.0,0.0,8.0,20.0,1.45
"fc1_weight[0, 0]",-6.436,20.719,-43.394,25.787,8.855,6.629,6.0,25.0,1.83
"fc1_weight[0, 1]",6.562,18.7,-29.292,33.113,7.395,5.488,8.0,86.0,1.47
"fc1_weight[1, 0]",-10.171,18.997,-49.977,10.966,7.869,5.923,7.0,15.0,1.9
"fc1_weight[1, 1]",-5.742,19.939,-42.561,33.093,8.942,6.736,5.0,13.0,2.26
"fc1_weight[2, 0]",5.375,21.228,-19.35,54.372,8.301,6.154,8.0,34.0,1.79
"fc1_weight[2, 1]",6.062,23.116,-28.877,42.282,9.828,7.353,7.0,36.0,1.64
"fc1_weight[3, 0]",3.524,14.995,-23.418,30.28,5.747,4.252,6.0,16.0,1.75
"fc1_weight[3, 1]",11.203,16.644,-10.804,41.456,7.286,5.471,6.0,35.0,1.75
"fc1_weight[4, 0]",10.687,19.874,-24.431,56.058,8.615,6.461,5.0,25.0,2.34
"fc1_weight[4, 1]",-16.349,23.91,-64.081,30.517,10.769,8.117,5.0,19.0,2.49
"fc1_weight[5, 0]",-11.93,21.759,-48.544,24.106,9.535,7.161,5.0,12.0,2.17
"fc1_weight[5, 1]",-2.831,18.898,-30.344,31.09,8.977,6.82,5.0,31.0,2.5
"fc1_weight[6, 0]",-13.191,16.665,-42.85,10.234,7.461,5.619,6.0,34.0,1.88
"fc1_weight[6, 1]",17.547,29.703,-35.666,59.171,12.972,9.738,6.0,46.0,1.83
"fc1_weight[7, 0]",-0.687,29.508,-50.9,59.148,13.736,10.403,5.0,27.0,2.37
"fc1_weight[7, 1]",-5.929,25.013,-47.861,33.911,11.522,8.713,5.0,35.0,2.21
"fc1_weight[8, 0]",-3.28,24.057,-35.377,37.833,10.875,8.201,6.0,30.0,1.94
"fc1_weight[8, 1]",18.225,18.328,-21.669,43.281,8.061,6.056,6.0,27.0,1.8
"fc1_weight[9, 0]",-12.458,29.414,-62.011,35.545,13.539,10.236,5.0,24.0,2.09
"fc1_weight[9, 1]",-3.778,12.696,-26.317,20.677,5.512,4.135,6.0,13.0,1.94
"fc1_weight[10, 0]",-4.362,19.526,-35.245,27.412,8.215,6.138,6.0,24.0,1.79
"fc1_weight[10, 1]",-17.606,27.041,-64.012,22.045,12.226,9.22,5.0,25.0,2.24
"fc1_weight[11, 0]",2.539,20.795,-25.532,32.904,10.036,7.644,6.0,131.0,1.78
"fc1_weight[11, 1]",15.702,19.878,-12.993,45.388,9.55,7.268,5.0,41.0,2.15
"fc1_weight[12, 0]",-17.979,18.381,-56.285,6.795,6.991,5.168,7.0,15.0,1.63
"fc1_weight[12, 1]",17.527,14.403,-2.464,47.765,4.862,3.559,9.0,56.0,1.41
"fc1_weight[13, 0]",-9.837,13.881,-34.935,13.11,2.197,2.315,18.0,39.0,1.31
"fc1_weight[13, 1]",6.591,21.454,-34.863,38.909,7.314,5.358,10.0,64.0,1.4
"fc1_weight[14, 0]",-1.012,18.267,-28.244,34.351,6.92,5.114,7.0,15.0,1.51
"fc1_weight[14, 1]",-3.263,38.947,-66.727,68.195,17.576,13.251,5.0,27.0,1.95
"fc1_weight[15, 0]",10.268,24.301,-33.425,51.311,11.254,8.516,5.0,23.0,2.17
"fc1_weight[15, 1]",-4.185,5.169,-14.007,2.806,1.066,0.763,12.0,41.0,1.26
"fc1_weight[16, 0]",-13.212,4.976,-23.393,-5.857,1.056,0.779,22.0,130.0,1.15
"fc1_weight[16, 1]",38.286,16.765,13.238,66.599,5.267,3.837,9.0,50.0,1.37
"fc1_weight[17, 0]",0.362,19.153,-35.506,38.742,8.335,6.254,5.0,17.0,2.15
"fc1_weight[17, 1]",-9.859,14.432,-37.326,7.672,4.942,3.622,8.0,63.0,1.48
"fc1_weight[18, 0]",-8.555,27.712,-60.603,29.262,12.132,9.11,6.0,16.0,1.93
"fc1_weight[18, 1]",-12.62,27.151,-58.929,26.426,11.832,8.879,6.0,34.0,1.73
"fc1_weight[19, 0]",2.512,15.045,-14.564,33.874,7.019,5.317,5.0,30.0,2.06
"fc1_weight[19, 1]",8.949,32.012,-47.211,55.825,15.115,11.472,5.0,18.0,2.1
"fc1_weight[20, 0]",-0.137,17.161,-32.895,33.839,4.229,3.891,16.0,53.0,1.6
"fc1_weight[20, 1]",-7.964,35.004,-74.743,44.212,14.478,10.797,6.0,22.0,1.64
"fc1_weight[21, 0]",-3.348,12.539,-25.275,23.704,4.433,3.256,8.0,13.0,1.46
"fc1_weight[21, 1]",16.636,11.971,2.815,40.27,4.073,2.983,8.0,64.0,1.43
"fc1_weight[22, 0]",5.389,25.849,-52.276,37.668,11.967,9.056,6.0,40.0,1.72
"fc1_weight[22, 1]",-9.986,11.898,-36.161,2.831,4.844,3.606,8.0,28.0,1.52
"fc1_weight[23, 0]",8.692,18.773,-30.987,31.195,8.902,6.761,7.0,37.0,1.7
"fc1_weight[23, 1]",-10.934,15.9,-35.217,14.092,7.299,5.517,5.0,34.0,2.21
"fc1_weight[24, 0]",1.685,6.99,-11.875,11.975,3.176,2.397,5.0,34.0,2.18
"fc1_weight[24, 1]",6.47,25.6,-37.594,45.144,12.317,9.376,5.0,36.0,2.55
"fc1_weight[25, 0]",-8.352,22.427,-49.914,42.387,8.661,6.412,6.0,35.0,1.88
"fc1_weight[25, 1]",26.669,23.582,-8.679,70.183,8.547,6.292,9.0,62.0,1.37
"fc1_weight[26, 0]",-19.259,29.683,-65.725,33.303,13.785,10.436,5.0,23.0,2.22
"fc1_weight[26, 1]",10.964,24.098,-22.831,69.554,8.333,6.869,8.0,12.0,2.04
"fc1_weight[27, 0]",6.824,22.741,-21.871,50.208,10.205,7.689,6.0,30.0,1.69
"fc1_weight[27, 1]",10.456,23.507,-28.518,49.126,10.7,8.077,5.0,21.0,2.12
"fc1_weight[28, 0]",3.905,25.351,-44.149,44.831,11.25,8.463,6.0,36.0,1.94
"fc1_weight[28, 1]",-2.032,12.053,-23.228,26.675,3.141,2.266,12.0,53.0,1.47
"fc1_weight[29, 0]",-1.152,19.367,-39.335,24.193,9.456,7.216,5.0,26.0,2.67
"fc1_weight[29, 1]",-13.777,36.583,-64.357,56.861,17.689,13.477,5.0,23.0,2.23
"fc1_weight[30, 0]",-18.386,17.978,-47.251,14.991,8.178,6.173,5.0,38.0,2.2
"fc1_weight[30, 1]",3.062,19.172,-35.654,32.648,9.153,6.959,5.0,22.0,2.55
"fc1_weight[31, 0]",-4.64,31.096,-53.939,44.695,14.475,10.963,5.0,65.0,1.96
"fc1_weight[31, 1]",1.951,12.97,-17.821,36.765,2.215,2.717,15.0,14.0,1.3
"fc1_weight[32, 0]",-3.551,25.953,-51.278,36.187,11.729,8.845,5.0,46.0,2.03
"fc1_weight[32, 1]",-6.46,15.891,-41.037,14.622,6.996,5.257,5.0,21.0,2.06
"fc1_weight[33, 0]",12.047,24.941,-35.967,52.444,11.039,8.301,6.0,22.0,1.75
"fc1_weight[33, 1]",3.36,20.882,-44.69,43.192,9.475,7.15,5.0,12.0,2.4
"fc1_weight[34, 0]",-3.36,17.299,-29.179,31.14,6.643,4.916,9.0,53.0,1.4
"fc1_weight[34, 1]",16.517,24.318,-29.484,57.352,9.081,6.702,8.0,27.0,1.42
"fc1_weight[35, 0]",-8.938,17.398,-42.343,15.102,8.185,6.209,5.0,28.0,2.91
"fc1_weight[35, 1]",6.532,23.843,-42.259,41.053,11.354,8.629,5.0,32.0,2.48
"fc1_weight[36, 0]",1.494,35.078,-62.221,59.42,16.471,12.49,5.0,32.0,2.44
"fc1_weight[36, 1]",6.182,13.65,-14.048,33.485,6.08,4.576,5.0,34.0,2.13
"fc1_weight[37, 0]",14.296,20.958,-17.92,49.83,9.555,7.215,5.0,35.0,2.09
"fc1_weight[37, 1]",1.351,20.894,-27.362,48.922,9.791,7.423,5.0,31.0,2.42
"fc1_weight[38, 0]",9.627,8.151,-1.377,23.683,3.622,2.725,6.0,40.0,1.9
"fc1_weight[38, 1]",-3.891,26.968,-42.097,32.361,12.921,9.829,6.0,55.0,1.8
"fc1_weight[39, 0]",8.463,22.254,-31.513,42.738,10.177,7.688,5.0,17.0,2.01
"fc1_weight[39, 1]",-8.245,16.551,-33.192,20.822,7.592,5.737,6.0,38.0,1.93
"fc1_weight[40, 0]",12.363,15.87,-11.725,41.151,6.167,4.569,7.0,81.0,1.54
"fc1_weight[40, 1]",-6.724,25.381,-50.81,37.16,10.26,7.632,7.0,24.0,1.7
"fc1_weight[41, 0]",-0.137,29.812,-51.439,52.816,14.237,10.825,5.0,26.0,2.58
"fc1_weight[41, 1]",22.8,18.299,-8.519,51.21,7.46,5.555,7.0,39.0,1.56
fc1_weight_precision,0.002,0.001,0.001,0.003,0.0,0.0,16.0,60.0,1.18
fc2_bias[0],-0.203,0.364,-0.873,0.486,0.094,0.068,13.0,113.0,1.23
fc2_bias_precision,1.418,1.184,0.003,3.523,0.029,0.02,1257.0,1655.0,1.0
"fc2_weight[0, 0]",-0.004,0.352,-0.547,0.601,0.154,0.116,5.0,36.0,2.0
"fc2_weight[0, 1]",-0.235,0.811,-1.848,0.902,0.389,0.296,5.0,18.0,2.4
"fc2_weight[0, 2]",-0.365,0.363,-1.008,0.51,0.144,0.107,6.0,17.0,1.86
"fc2_weight[0, 3]",0.095,0.492,-0.772,0.845,0.233,0.177,5.0,32.0,2.4
"fc2_weight[0, 4]",-0.108,0.379,-0.698,0.457,0.169,0.127,6.0,32.0,1.71
"fc2_weight[0, 5]",0.049,0.545,-1.093,1.002,0.263,0.2,5.0,12.0,2.68
"fc2_weight[0, 6]",0.283,0.423,-0.54,0.866,0.188,0.142,6.0,41.0,1.75
"fc2_weight[0, 7]",0.154,0.443,-0.672,0.855,0.209,0.158,5.0,28.0,2.46
"fc2_weight[0, 8]",-0.293,0.377,-1.083,0.282,0.168,0.126,5.0,23.0,2.07
"fc2_weight[0, 9]",0.026,0.347,-0.52,0.75,0.157,0.118,6.0,12.0,1.83
"fc2_weight[0, 10]",0.09,0.407,-0.668,0.791,0.185,0.139,5.0,23.0,2.22
"fc2_weight[0, 11]",0.324,0.438,-0.448,0.904,0.212,0.161,5.0,26.0,2.4
"fc2_weight[0, 12]",0.153,0.287,-0.274,0.629,0.12,0.09,6.0,65.0,1.69
"fc2_weight[0, 13]",0.061,0.406,-0.713,0.83,0.18,0.136,5.0,22.0,2.16
"fc2_weight[0, 14]",0.112,0.382,-0.605,0.776,0.17,0.128,5.0,15.0,1.96
"fc2_weight[0, 15]",0.217,0.298,-0.31,0.681,0.136,0.103,5.0,41.0,2.08
"fc2_weight[0, 16]",-0.041,0.438,-0.742,0.641,0.202,0.153,6.0,21.0,1.8
"fc2_weight[0, 17]",0.146,0.432,-0.795,0.741,0.19,0.143,6.0,27.0,1.74
"fc2_weight[0, 18]",0.127,0.422,-0.646,0.76,0.189,0.142,6.0,24.0,1.82
"fc2_weight[0, 19]",-0.144,0.519,-0.692,1.295,0.247,0.188,5.0,11.0,2.02
"fc2_weight[0, 20]",-0.059,0.25,-0.439,0.422,0.106,0.079,6.0,26.0,1.72
"fc2_weight[0, 21]",-0.273,0.386,-0.85,0.42,0.177,0.134,5.0,34.0,2.09
"fc2_weight[0, 22]",0.164,0.251,-0.34,0.514,0.117,0.089,6.0,35.0,1.96
"fc2_weight[0, 23]",0.157,0.634,-0.521,1.485,0.302,0.23,5.0,28.0,2.23
"fc2_weight[0, 24]",-0.015,0.571,-0.933,0.805,0.273,0.208,5.0,53.0,2.17
"fc2_weight[0, 25]",0.036,0.261,-0.414,0.493,0.122,0.093,5.0,12.0,2.15
"fc2_weight[0, 26]",0.082,0.481,-0.848,0.863,0.22,0.166,5.0,14.0,2.21
"fc2_weight[0, 27]",-0.102,0.405,-0.623,0.733,0.187,0.141,5.0,26.0,2.0
"fc2_weight[0, 28]",0.049,0.297,-0.424,0.498,0.127,0.095,6.0,28.0,1.7
"fc2_weight[0, 29]",0.042,0.595,-0.905,0.84,0.289,0.221,5.0,38.0,2.2
"fc2_weight[0, 30]",0.267,0.167,0.099,0.686,0.039,0.038,11.0,22.0,1.41
"fc2_weight[0, 31]",-0.087,0.306,-0.542,0.444,0.124,0.092,6.0,33.0,1.69
"fc2_weight[0, 32]",-0.137,0.246,-0.484,0.287,0.097,0.072,8.0,34.0,1.5
"fc2_weight[0, 33]",-0.023,0.284,-0.442,0.515,0.124,0.094,6.0,20.0,1.7
"fc2_weight[0, 34]",-0.199,0.361,-0.886,0.446,0.131,0.097,7.0,68.0,1.55
"fc2_weight[0, 35]",0.517,0.426,0.092,1.296,0.191,0.144,5.0,62.0,1.98
"fc2_weight[0, 36]",0.07,0.351,-0.47,0.534,0.154,0.115,7.0,27.0,1.64
"fc2_weight[0, 37]",0.15,0.39,-0.669,0.678,0.182,0.137,6.0,26.0,1.82
"fc2_weight[0, 38]",-0.082,0.651,-0.723,1.239,0.316,0.24,5.0,28.0,2.21
"fc2_weight[0, 39]",-0.096,0.673,-1.108,1.046,0.31,0.234,6.0,22.0,1.92
"fc2_weight[0, 40]",-0.06,0.337,-0.574,0.526,0.156,0.118,5.0,32.0,2.06
"fc2_weight[0, 41]",0.004,0.366,-0.732,0.508,0.167,0.126,6.0,36.0,1.92
fc2_weight_precision,4.242,1.358,1.8,6.718,0.359,0.259,13.0,39.0,1.23
