,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
fc1_bias[0],3.354,10.568,-8.17,24.649,5.052,3.842,5.0,24.0,2.31
fc1_bias[1],-12.928,15.972,-44.102,2.852,7.542,5.724,5.0,25.0,2.47
fc1_bias[2],8.681,11.141,-5.361,28.041,4.52,3.364,7.0,63.0,1.65
fc1_bias[3],-4.113,22.52,-52.83,16.908,10.425,7.889,7.0,18.0,1.88
fc1_bias[4],12.223,20.807,-9.46,52.561,9.829,7.46,5.0,28.0,2.63
fc1_bias[5],-6.077,19.755,-45.154,13.955,9.534,7.261,5.0,32.0,2.44
fc1_bias[6],0.602,14.959,-22.495,30.223,7.074,5.371,5.0,12.0,2.22
fc1_bias[7],-2.376,11.14,-23.579,11.487,5.179,3.921,5.0,38.0,2.1
fc1_bias[8],2.103,15.57,-20.801,36.797,7.276,5.514,5.0,14.0,2.17
fc1_bias[9],3.293,13.058,-12.555,34.678,5.651,4.237,6.0,15.0,2.61
fc1_bias[10],-1.629,20.545,-35.016,34.186,9.853,7.497,5.0,34.0,2.53
fc1_bias[11],-13.973,11.971,-33.63,11.031,4.939,3.682,6.0,17.0,1.75
fc1_bias[12],5.045,8.648,-4.04,22.981,4.119,3.131,5.0,12.0,2.56
fc1_bias[13],1.385,9.905,-11.274,20.386,4.7,3.57,5.0,29.0,2.87
fc1_bias[14],3.731,15.292,-29.316,23.378,6.976,5.268,6.0,20.0,1.86
fc1_bias[15],11.661,25.697,-25.489,62.191,12.266,9.326,5.0,23.0,2.39
fc1_bias[16],-1.145,15.615,-32.009,17.764,7.548,5.75,5.0,38.0,2.38
fc1_bias[17],-13.485,8.331,-27.237,3.421,3.418,2.546,6.0,21.0,1.81
fc1_bias[18],5.622,7.676,-5.847,19.778,3.185,2.376,6.0,33.0,1.86
fc1_bias[19],3.793,13.836,-22.368,21.43,5.761,4.3,8.0,107.0,1.54
fc1_bias[20],3.377,23.212,-28.44,45.191,11.267,8.589,5.0,31.0,2.48
fc1_bias[21],-9.846,11.848,-30.163,7.118,5.548,4.205,5.0,12.0,3.0
fc1_bias[22],6.792,17.469,-27.023,36.348,8.269,6.279,5.0,27.0,2.68
fc1_bias[23],-6.701,6.86,-18.473,2.54,2.964,2.222,5.0,32.0,2.04
fc1_bias[24],-4.492,8.103,-20.236,1.325,3.962,3.024,5.0,34.0,2.62
fc1_bias[25],-9.979,15.726,-42.443,12.305,7.338,5.559,5.0,21.0,2.23
fc1_bias[26],8.159,21.657,-19.69,51.345,10.44,7.95,5.0,20.0,2.46
fc1_bias[27],-4.3,11.65,-27.062,13.674,5.007,3.751,5.0,21.0,2.18
fc1_bias_precision,0.006,0.004,0.001,0.014,0.002,0.001,5.0,24.0,1.99
"fc1_weight[0, 0]",-14.108,19.093,-43.076,21.448,9.003,6.832,5.0,18.0,2.28
"fc1_weight[0, 1]",4.862,9.851,-15.528,17.764,4.689,3.563,6.0,19.0,1.89
"fc1_weight[0, 2]",-0.934,1.326,-3.606,0.758,0.558,0.417,5.0,32.0,1.99
"fc1_weight[0, 3]",-0.078,0.372,-0.869,0.633,0.107,0.078,11.0,32.0,1.28
"fc1_weight[1, 0]",-2.174,15.418,-29.784,23.889,7.264,5.512,5.0,34.0,2.61
"fc1_weight[1, 1]",8.439,9.245,-8.88,26.599,3.72,2.765,7.0,26.0,1.62
"fc1_weight[1, 2]",2.23,8.723,-15.185,18.705,3.926,2.959,5.0,29.0,2.28
"fc1_weight[1, 3]",-0.284,2.777,-6.87,1.523,0.381,0.306,19.0,26.0,1.56
"fc1_weight[2, 0]",6.603,7.997,-13.323,19.977,2.492,1.815,12.0,14.0,1.32
"fc1_weight[2, 1]",1.31,12.876,-22.5,23.21,5.432,4.06,6.0,37.0,1.81
"fc1_weight[2, 2]",-1.085,11.762,-23.854,19.739,5.217,3.924,5.0,35.0,2.04
"fc1_weight[2, 3]",-3.409,6.942,-18.573,3.658,2.947,2.205,5.0,33.0,2.12
"fc1_weight[3, 0]",-11.246,11.577,-32.647,10.208,5.118,3.848,5.0,24.0,2.21
"fc1_weight[3, 1]",15.982,12.599,-4.946,38.944,5.689,4.289,5.0,23.0,2.09
"fc1_weight[3, 2]",0.181,4.749,-8.061,12.259,0.558,0.845,23.0,31.0,1.85
"fc1_weight[3, 3]",0.957,2.374,-2.111,7.649,0.458,0.385,13.0,19.0,1.34
"fc1_weight[4, 0]",-0.67,9.419,-12.689,15.731,4.203,3.164,6.0,67.0,1.74
"fc1_weight[4, 1]",7.255,9.909,-9.94,21.605,4.326,3.247,7.0,30.0,1.59
"fc1_weight[4, 2]",7.613,7.228,-0.574,20.434,3.19,2.398,5.0,31.0,2.33
"fc1_weight[4, 3]",4.677,7.287,-2.025,19.306,3.244,2.442,6.0,30.0,1.96
"fc1_weight[5, 0]",4.379,18.833,-28.458,40.142,9.027,6.868,5.0,14.0,2.47
"fc1_weight[5, 1]",-7.033,17.348,-42.084,15.624,8.245,6.264,5.0,30.0,2.3
"fc1_weight[5, 2]",-0.327,5.715,-9.572,12.894,2.608,1.97,5.0,14.0,2.57
"fc1_weight[5, 3]",-1.755,3.646,-9.507,1.097,1.618,1.217,7.0,37.0,1.66
"fc1_weight[6, 0]",-7.296,12.744,-29.135,14.453,5.338,3.986,6.0,34.0,1.77
"fc1_weight[6, 1]",-3.869,16.953,-38.054,19.383,7.866,5.954,5.0,26.0,2.11
"fc1_weight[6, 2]",0.968,3.645,-4.75,7.723,1.613,1.213,5.0,11.0,2.09
"fc1_weight[6, 3]",0.52,1.258,-0.976,3.593,0.401,0.293,9.0,28.0,1.43
"fc1_weight[7, 0]",-3.567,13.223,-27.216,18.429,6.049,4.569,5.0,30.0,2.19
"fc1_weight[7, 1]",5.838,16.093,-21.308,33.151,7.485,5.668,5.0,30.0,2.35
"fc1_weight[7, 2]",-3.412,7.91,-19.7,11.361,3.636,2.748,5.0,12.0,2.66
"fc1_weight[7, 3]",0.566,5.378,-10.555,11.7,2.333,1.75,5.0,16.0,2.32
"fc1_weight[8, 0]",-1.619,9.258,-17.632,13.837,3.456,2.551,8.0,48.0,1.44
"fc1_weight[8, 1]",4.465,12.693,-15.288,27.633,5.393,4.035,7.0,39.0,1.63
"fc1_weight[8, 2]",-7.581,13.517,-32.297,10.287,5.933,4.457,5.0,16.0,2.2
"fc1_weight[8, 3]",3.424,11.083,-16.8,25.048,4.852,3.643,5.0,26.0,2.32
"fc1_weight[9, 0]",8.143,10.187,-9.442,30.958,4.558,3.433,5.0,13.0,2.2
"fc1_weight[9, 1]",-6.366,15.307,-29.879,21.957,7.137,5.406,5.0,15.0,2.22
"fc1_weight[9, 2]",-1.665,5.15,-9.145,10.619,1.919,1.416,6.0,14.0,1.9
"fc1_weight[9, 3]",0.367,2.915,-6.251,3.662,0.369,0.436,15.0,14.0,1.28
"fc1_weight[10, 0]",0.447,10.869,-18.063,20.901,4.515,3.368,6.0,14.0,1.95
"fc1_weight[10, 1]",10.608,20.878,-28.341,37.951,9.616,7.271,6.0,14.0,1.75
"fc1_weight[10, 2]",1.932,4.357,-4.346,9.04,1.723,1.279,6.0,83.0,1.71
"fc1_weight[10, 3]",-0.543,2.137,-2.722,0.878,0.381,0.272,10.0,24.0,1.3
"fc1_weight[11, 0]",-15.438,11.672,-37.178,4.283,5.041,3.778,6.0,27.0,1.96
"fc1_weight[11, 1]",11.418,10.887,-6.193,31.719,4.576,3.419,6.0,28.0,1.71
"fc1_weight[11, 2]",4.186,7.503,-3.471,20.417,3.005,2.233,6.0,28.0,1.77
"fc1_weight[11, 3]",3.569,8.427,-7.965,22.849,3.663,2.748,6.0,20.0,2.19
"fc1_weight[12, 0]",-0.612,11.307,-15.939,17.895,5.377,4.086,5.0,17.0,2.03
"fc1_weight[12, 1]",0.255,24.363,-31.534,39.522,11.809,9.0,5.0,39.0,2.23
"fc1_weight[12, 2]",1.066,1.888,-1.16,5.583,0.866,0.654,5.0,13.0,2.76
"fc1_weight[12, 3]",0.186,0.355,-0.443,0.867,0.129,0.095,8.0,35.0,1.47
"fc1_weight[13, 0]",10.062,11.84,-6.903,34.716,5.335,4.021,6.0,34.0,1.87
"fc1_weight[13, 1]",-10.279,11.805,-32.53,9.669,5.471,4.14,5.0,30.0,2.68
"fc1_weight[13, 2]",3.289,4.317,-0.348,11.984,1.979,1.495,5.0,32.0,2.08
"fc1_weight[13, 3]",0.366,0.957,-0.792,2.041,0.349,0.257,7.0,31.0,1.62
"fc1_weight[14, 0]",3.421,20.154,-32.363,32.776,9.343,7.071,5.0,32.0,2.26
"fc1_weight[14, 1]",-8.767,15.56,-33.917,15.859,6.677,5.001,7.0,54.0,1.64
"fc1_weight[14, 2]",-1.572,10.056,-19.895,19.014,4.614,3.487,5.0,13.0,2.37
"fc1_weight[14, 3]",-0.332,4.263,-12.52,6.409,1.578,1.163,8.0,12.0,1.56
"fc1_weight[15, 0]",-2.894,12.543,-29.042,16.393,5.574,4.194,6.0,25.0,1.88
"fc1_weight[15, 1]",12.451,15.984,-16.265,42.895,6.786,5.076,6.0,31.0,1.87
"fc1_weight[15, 2]",1.1,9.464,-11.618,20.784,4.279,3.227,5.0,31.0,2.21
"fc1_weight[15, 3]",-0.206,2.155,-4.294,2.705,0.674,0.491,7.0,24.0,1.6
"fc1_weight[16, 0]",-1.764,13.573,-28.815,13.62,6.507,4.95,6.0,26.0,1.96
"fc1_weight[16, 1]",1.983,10.804,-14.231,20.285,5.063,3.838,5.0,27.0,2.49
"fc1_weight[16, 2]",-5.901,6.705,-18.474,0.524,3.043,2.296,5.0,30.0,2.44
"fc1_weight[16, 3]",-2.115,4.479,-11.836,2.928,2.086,1.58,5.0,33.0,2.74
"fc1_weight[17, 0]",-9.109,13.693,-34.277,8.011,5.88,4.405,7.0,47.0,1.61
"fc1_weight[17, 1]",-4.528,17.074,-29.152,23.649,7.8,5.891,6.0,39.0,1.82
"fc1_weight[17, 2]",6.815,12.927,-3.189,36.542,5.673,4.261,5.0,25.0,2.77
"fc1_weight[17, 3]",-3.27,7.338,-24.501,4.256,2.992,2.312,7.0,11.0,1.98
"fc1_weight[18, 0]",11.12,17.102,-14.15,42.862,7.876,5.955,5.0,39.0,2.13
"fc1_weight[18, 1]",-0.476,10.728,-16.837,18.916,4.774,3.593,6.0,37.0,1.89
"fc1_weight[18, 2]",1.034,5.759,-9.517,11.941,2.551,1.919,5.0,14.0,2.25
"fc1_weight[18, 3]",-1.053,3.988,-10.07,1.971,1.412,1.038,6.0,32.0,1.72
"fc1_weight[19, 0]",7.219,20.956,-23.646,45.02,9.76,7.392,5.0,29.0,2.2
"fc1_weight[19, 1]",-8.376,14.588,-36.848,12.516,6.557,4.941,5.0,13.0,2.07
"fc1_weight[19, 2]",-2.368,8.538,-18.3,16.802,3.231,2.387,7.0,22.0,1.74
"fc1_weight[19, 3]",-0.44,4.387,-10.028,8.166,1.346,0.979,8.0,33.0,1.45
"fc1_weight[20, 0]",-5.136,12.301,-32.157,10.859,5.617,4.242,5.0,15.0,2.0
"fc1_weight[20, 1]",10.69,13.529,-15.308,29.862,6.206,4.69,6.0,35.0,1.72
"fc1_weight[20, 2]",2.072,11.603,-16.093,28.071,5.353,4.048,5.0,30.0,2.86
"fc1_weight[20, 3]",-0.389,0.844,-2.08,1.228,0.32,0.236,6.0,22.0,1.69
"fc1_weight[21, 0]",9.565,6.676,-0.447,21.631,2.853,2.135,6.0,37.0,1.71
"fc1_weight[21, 1]",-8.177,13.662,-32.302,15.793,6.573,5.004,5.0,27.0,2.92
"fc1_weight[21, 2]",0.542,2.998,-4.288,6.202,1.44,1.096,4.0,13.0,3.2
"fc1_weight[21, 3]",-2.376,4.281,-11.166,0.633,2.047,1.557,5.0,31.0,1.97
"fc1_weight[22, 0]",9.968,12.616,-4.747,37.261,5.608,4.219,5.0,39.0,2.12
"fc1_weight[22, 1]",-5.271,13.864,-29.81,15.965,6.385,4.828,5.0,38.0,2.06
"fc1_weight[22, 2]",2.509,8.243,-10.391,18.829,3.915,2.974,5.0,25.0,2.89
"fc1_weight[22, 3]",1.129,1.473,-0.609,4.194,0.477,0.348,9.0,89.0,1.45
"fc1_weight[23, 0]",-5.036,9.326,-19.327,10.2,3.656,2.711,7.0,33.0,1.61
"fc1_weight[23, 1]",0.358,16.532,-30.399,25.445,7.708,5.839,5.0,31.0,2.08
"fc1_weight[23, 2]",-5.695,15.141,-39.183,11.499,7.087,5.372,5.0,13.0,2.59
"fc1_weight[23, 3]",1.212,2.185,-0.834,5.496,0.885,0.659,6.0,33.0,1.95
"fc1_weight[24, 0]",6.752,11.59,-8.725,23.208,5.516,4.192,5.0,27.0,2.04
"fc1_weight[24, 1]",-1.024,19.837,-35.175,31.047,9.674,7.381,5.0,33.0,2.86
"fc1_weight[24, 2]",-0.412,1.163,-2.276,1.042,0.445,0.329,5.0,15.0,2.03
"fc1_weight[24, 3]",0.114,0.328,-0.472,0.693,0.124,0.092,7.0,52.0,1.53
"fc1_weight[25, 0]",0.065,14.25,-21.477,27.959,6.642,5.031,5.0,13.0,2.32
"fc1_weight[25, 1]",-0.85,11.689,-22.849,16.941,5.105,3.832,6.0,36.0,1.82
"fc1_weight[25, 2]",-4.948,14.871,-35.554,10.856,6.969,5.284,5.0,32.0,2.68
"fc1_weight[25, 3]",-1.121,2.453,-6.272,0.916,1.026,0.766,6.0,30.0,1.88
"fc1_weight[26, 0]",0.584,16.953,-23.8,31.38,7.843,5.935,5.0,34.0,2.28
"fc1_weight[26, 1]",9.939,19.9,-10.226,51.495,9.53,7.249,6.0,31.0,1.94
"fc1_weight[26, 2]",-3.86,5.135,-14.468,1.566,2.03,1.506,5.0,23.0,1.97
"fc1_weight[26, 3]",0.803,3.619,-5.67,9.419,1.46,1.086,7.0,11.0,1.62
"fc1_weight[27, 0]",-7.175,17.451,-33.259,19.26,7.888,5.948,6.0,47.0,1.95
"fc1_weight[27, 1]",5.264,8.233,-10.687,17.355,2.2,1.589,9.0,30.0,1.37
"fc1_weight[27, 2]",-5.183,11.435,-34.221,2.712,3.826,2.844,8.0,21.0,1.59
"fc1_weight[27, 3]",2.384,5.463,-1.327,15.168,2.026,1.494,9.0,32.0,1.58
fc1_weight_precision,0.009,0.004,0.002,0.016,0.002,0.001,5.0,26.0,2.09
