,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
fc1_bias[0],-4.306,22.43,-45.203,30.571,10.172,7.674,5.0,28.0,2.02
fc1_bias[1],3.88,18.603,-20.073,41.984,8.942,6.806,5.0,28.0,2.56
fc1_bias[2],14.777,25.379,-15.71,60.051,12.217,9.301,5.0,31.0,2.56
fc1_bias[3],15.949,30.127,-15.553,73.475,14.648,11.17,5.0,28.0,2.87
fc1_bias[4],2.333,4.157,-2.404,8.49,1.975,1.5,5.0,19.0,2.48
fc1_bias[5],-5.508,28.776,-44.796,49.77,13.913,10.6,5.0,28.0,2.61
fc1_bias[6],0.862,21.871,-43.572,53.734,3.905,4.669,15.0,23.0,2.18
fc1_bias[7],-17.612,19.96,-52.467,9.734,9.111,6.88,5.0,28.0,2.45
fc1_bias[8],-3.906,29.138,-45.564,44.935,14.05,10.7,5.0,29.0,2.17
fc1_bias[9],2.03,15.535,-28.557,22.032,6.382,4.756,6.0,11.0,1.91
fc1_bias[10],17.762,33.964,-22.674,85.129,16.452,12.537,5.0,30.0,2.54
fc1_bias[11],0.535,16.189,-28.638,40.701,6.948,5.204,5.0,11.0,2.27
fc1_bias[12],-4.642,25.34,-44.577,46.97,10.713,8.009,6.0,15.0,1.7
fc1_bias[13],-12.004,12.256,-32.897,2.191,5.774,4.381,5.0,11.0,2.34
fc1_bias[14],7.117,15.354,-11.848,41.62,6.612,4.954,6.0,12.0,1.86
fc1_bias[15],5.535,15.512,-18.751,29.255,7.38,5.608,5.0,29.0,2.17
fc1_bias[16],-5.923,19.995,-52.874,14.509,5.995,4.389,7.0,19.0,2.26
fc1_bias[17],-3.842,10.564,-21.663,14.254,5.099,3.884,5.0,27.0,2.84
fc1_bias[18],6.397,24.687,-21.891,57.083,12.033,9.18,5.0,20.0,2.93
fc1_bias[19],6.347,18.934,-22.7,42.862,9.146,6.967,5.0,29.0,2.87
fc1_bias[20],-2.894,9.456,-18.528,16.575,4.273,3.222,5.0,24.0,2.8
fc1_bias[21],33.553,23.442,3.848,72.762,10.179,7.636,6.0,49.0,1.92
fc1_bias[22],13.384,40.795,-39.822,77.359,19.535,14.86,6.0,50.0,1.88
fc1_bias[23],-14.397,15.552,-35.596,12.369,6.974,5.254,7.0,32.0,1.6
fc1_bias[24],11.603,14.573,-2.586,38.176,7.131,5.444,5.0,26.0,2.88
fc1_bias[25],4.981,8.744,-1.327,22.826,4.122,3.127,5.0,11.0,2.5
fc1_bias[26],-0.928,7.482,-14.043,10.472,3.636,2.772,5.0,25.0,2.86
fc1_bias[27],5.397,23.216,-29.167,50.132,10.865,8.235,5.0,17.0,2.29
fc1_bias_precision,0.003,0.002,0.0,0.007,0.001,0.001,6.0,45.0,1.79
"fc1_weight[0, 0]",1.049,10.526,-15.211,22.267,4.61,3.461,6.0,33.0,1.79
"fc1_weight[0, 1]",6.551,14.046,-15.997,31.046,6.467,4.89,5.0,30.0,2.27
"fc1_weight[0, 2]",0.492,6.368,-9.37,15.364,2.728,2.043,5.0,25.0,2.1
"fc1_weight[0, 3]",1.234,1.981,-0.491,4.461,0.425,0.305,12.0,46.0,1.23
"fc1_weight[1, 0]",5.791,12.962,-18.575,26.378,6.129,4.653,5.0,31.0,2.27
"fc1_weight[1, 1]",-8.231,11.248,-25.499,13.272,5.315,4.035,5.0,23.0,2.14
"fc1_weight[1, 2]",0.721,2.838,-3.221,6.709,1.316,0.996,5.0,27.0,2.56
"fc1_weight[1, 3]",-0.124,0.61,-1.207,1.085,0.257,0.192,6.0,29.0,1.89
"fc1_weight[2, 0]",-14.744,6.179,-26.837,-5.813,2.253,1.659,9.0,15.0,1.37
