,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
fc1_bias[0],-0.057,9.28,-14.053,19.501,4.386,3.33,5.0,30.0,2.76
fc1_bias[1],0.814,5.815,-7.081,11.236,2.78,2.114,5.0,29.0,2.15
fc1_bias[2],7.365,7.533,-0.264,21.953,3.551,2.694,5.0,26.0,2.56
fc1_bias[3],6.065,6.453,0.686,19.192,3.064,2.328,5.0,31.0,2.01
fc1_bias[4],10.977,13.843,-11.928,30.983,6.592,5.01,5.0,29.0,2.14
fc1_bias[5],6.56,9.427,-2.515,25.853,4.027,3.015,5.0,29.0,2.5
fc1_bias[6],5.662,11.405,-7.351,25.075,5.459,4.152,5.0,32.0,2.0
fc1_bias[7],-2.785,11.958,-28.07,10.607,4.179,3.067,7.0,15.0,1.94
fc1_bias[8],-4.156,4.435,-11.44,1.29,1.944,1.46,5.0,17.0,2.26
fc1_bias[9],5.996,8.736,-10.559,23.194,3.769,2.825,5.0,25.0,2.01
fc1_bias[10],1.214,12.767,-22.403,26.132,5.722,4.31,5.0,19.0,2.67
fc1_bias[11],3.518,15.482,-25.671,27.959,7.245,5.492,5.0,28.0,2.21
fc1_bias[12],4.315,6.971,-7.484,17.244,3.268,2.478,5.0,26.0,2.56
fc1_bias[13],-2.832,8.583,-20.348,4.123,4.196,3.202,5.0,29.0,2.24
fc1_bias[14],-0.569,7.578,-11.42,13.642,3.559,2.699,5.0,25.0,2.0
fc1_bias[15],4.111,14.393,-18.102,32.784,6.943,5.288,5.0,17.0,3.0
fc1_bias[16],-16.795,9.685,-34.015,-2.066,4.166,3.121,6.0,30.0,1.93
fc1_bias[17],1.286,3.37,-3.099,8.038,1.526,1.151,5.0,26.0,2.87
fc1_bias[18],8.445,5.152,2.278,18.437,1.776,1.302,9.0,28.0,1.33
fc1_bias[19],-6.693,12.304,-24.866,13.625,5.777,4.381,5.0,27.0,2.12
fc1_bias[20],-5.906,9.514,-23.533,9.613,4.444,3.368,5.0,32.0,2.73
fc1_bias[21],5.017,16.812,-27.431,33.928,7.816,5.918,5.0,19.0,2.25
fc1_bias[22],-2.694,17.816,-38.778,16.801,8.415,6.387,6.0,32.0,1.84
fc1_bias[23],-11.705,8.523,-24.86,0.291,3.828,2.885,5.0,27.0,2.06
fc1_bias[24],-5.149,10.213,-23.842,8.884,4.906,3.733,5.0,27.0,2.82
fc1_bias[25],3.007,14.637,-21.929,21.415,7.218,5.517,5.0,28.0,2.41
fc1_bias[26],7.653,15.847,-22.949,31.301,7.459,5.659,5.0,27.0,2.27
fc1_bias[27],-3.71,17.841,-37.8,25.014,7.684,5.758,7.0,27.0,2.4
fc1_bias_precision,0.007,0.004,0.002,0.014,0.001,0.001,10.0,54.0,1.3
"fc1_weight[0, 0]",-2.591,7.844,-12.691,11.593,3.702,2.81,5.0,28.0,2.11
