,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
fc1_bias[0],-14.32,17.29,-49.554,1.952,8.223,6.248,5.0,27.0,2.73
fc1_bias[1],20.989,12.151,1.808,37.153,5.389,4.053,6.0,27.0,1.66
fc1_bias[2],1.976,9.527,-8.342,21.472,4.645,3.544,5.0,19.0,2.92
fc1_bias[3],-4.087,10.706,-18.804,12.32,5.255,4.014,5.0,19.0,2.46
fc1_bias[4],1.852,3.223,-1.021,9.382,1.458,1.1,5.0,13.0,2.58
fc1_bias[5],5.984,15.763,-10.736,40.818,7.319,5.541,5.0,37.0,2.85
fc1_bias[6],-7.86,3.467,-14.08,-3.23,1.442,1.076,7.0,49.0,1.63
fc1_bias[7],-9.364,27.909,-64.233,17.513,13.615,10.388,5.0,26.0,2.29
fc1_bias[8],-0.821,4.029,-7.048,6.978,1.333,0.974,7.0,14.0,2.22
fc1_bias[9],13.218,13.628,-1.077,33.671,6.384,4.84,5.0,31.0,2.19
fc1_bias[10],-8.892,20.739,-49.519,12.329,10.104,7.707,5.0,38.0,2.28
fc1_bias[11],7.586,18.983,-22.319,36.32,9.2,7.012,5.0,27.0,2.35
fc1_bias[12],-10.711,6.523,-20.306,-2.562,3.115,2.368,6.0,57.0,1.92
fc1_bias[13],-1.058,6.812,-8.231,12.262,3.334,2.545,6.0,28.0,1.95
fc1_bias[14],18.169,16.492,-2.353,52.061,7.586,5.735,5.0,13.0,2.05
fc1_bias[15],-11.309,16.535,-43.026,11.858,7.974,6.073,4.0,12.0,3.15
fc1_bias[16],-2.293,8.662,-14.583,17.035,2.553,1.853,8.0,14.0,1.65
fc1_bias[17],2.52,9.95,-16.421,18.216,4.451,3.352,5.0,32.0,2.28
fc1_bias[18],-1.945,16.733,-35.745,18.512,7.903,5.999,5.0,35.0,2.54
fc1_bias[19],25.063,15.518,1.073,46.56,7.31,5.546,5.0,28.0,2.09
fc1_bias[20],-0.048,12.481,-15.323,24.967,5.925,4.501,5.0,22.0,2.66
fc1_bias[21],-1.931,11.125,-16.791,19.684,5.239,3.975,5.0,35.0,2.31
fc1_bias[22],1.623,16.176,-19.08,33.265,7.933,6.058,5.0,25.0,2.85
fc1_bias[23],7.013,12.001,-0.562,30.854,5.844,4.457,5.0,29.0,2.41
fc1_bias[24],-3.885,6.246,-15.287,8.059,2.9,2.196,5.0,12.0,2.84
fc1_bias[25],0.692,16.359,-37.557,17.067,7.069,5.299,5.0,28.0,2.01
fc1_bias[26],-6.77,11.259,-27.122,9.087,5.325,4.042,5.0,18.0,2.63
fc1_bias[27],4.878,15.334,-6.854,41.92,7.068,5.345,5.0,11.0,2.88
fc1_bias_precision,0.004,0.002,0.001,0.008,0.001,0.0,12.0,33.0,1.27
"fc1_weight[0, 0]",2.452,7.737,-9.432,16.42,3.554,2.686,5.0,26.0,2.15
"fc1_weight[0, 1]",-13.631,17.16,-36.868,19.848,8.083,6.132,6.0,47.0,1.72
"fc1_weight[0, 2]",-0.808,0.543,-2.028,0.034,0.15,0.109,14.0,76.0,1.21
"fc1_weight[0, 3]",7.603,6.692,-0.657,19.564,2.789,2.081,5.0,31.0,2.12
"fc1_weight[1, 0]",5.958,8.761,-10.154,20.55,4.106,3.113,5.0,25.0,2.25
"fc1_weight[1, 1]",-1.818,17.953,-25.397,33.446,8.765,6.688,5.0,30.0,2.44
"fc1_weight[1, 2]",-0.059,0.491,-0.763,0.656,0.143,0.104,9.0,47.0,1.39
"fc1_weight[1, 3]",1.888,6.803,-6.47,15.119,3.213,2.438,5.0,30.0,2.7
"fc1_weight[2, 0]",7.468,9.23,-3.626,26.05,4.387,3.333,5.0,22.0,2.13
"fc1_weight[2, 1]",3.263,12.867,-11.616,29.014,6.207,4.727,5.0,31.0,2.72
"fc1_weight[2, 2]",-0.061,0.415,-0.886,0.693,0.182,0.136,5.0,24.0,2.17
"fc1_weight[2, 3]",-0.991,1.794,-4.624,0.583,0.86,0.654,5.0,15.0,2.22
"fc1_weight[3, 0]",-5.6,13.367,-24.441,19.247,6.495,4.952,5.0,28.0,2.64
"fc1_weight[3, 1]",-2.315,15.028,-29.864,15.938,7.404,5.659,5.0,19.0,2.9
"fc1_weight[3, 2]",0.116,0.214,-0.214,0.561,0.092,0.069,6.0,26.0,1.75
"fc1_weight[3, 3]",0.072,0.808,-1.282,1.314,0.337,0.251,6.0,33.0,1.78
"fc1_weight[4, 0]",0.722,4.698,-5.462,8.721,1.938,1.445,6.0,28.0,1.84
"fc1_weight[4, 1]",-10.058,16.099,-36.232,18.593,7.629,5.794,5.0,12.0,2.24
"fc1_weight[4, 2]",0.23,0.712,-0.912,1.641,0.28,0.208,6.0,17.0,1.73
"fc1_weight[4, 3]",1.894,8.776,-13.403,20.229,4.102,3.108,5.0,13.0,2.9
"fc1_weight[5, 0]",-2.66,11.315,-21.727,17.268,5.308,4.025,5.0,20.0,2.61
"fc1_weight[5, 1]",1.008,13.931,-21.97,27.29,6.504,4.928,5.0,36.0,2.59
"fc1_weight[5, 2]",-0.354,1.09,-2.669,1.09,0.494,0.373,5.0,32.0,2.18
"fc1_weight[5, 3]",-5.655,10.017,-25.535,7.612,4.731,3.591,5.0,36.0,2.87
"fc1_weight[6, 0]",6.082,13.409,-17.914,27.67,6.449,4.909,5.0,32.0,2.71
"fc1_weight[6, 1]",-7.567,4.579,-16.819,-0.511,1.985,1.498,6.0,30.0,1.73
"fc1_weight[6, 2]",0.137,0.227,-0.294,0.547,0.059,0.043,14.0,125.0,1.21
"fc1_weight[6, 3]",0.562,0.915,-0.621,2.33,0.405,0.305,6.0,31.0,1.77
"fc1_weight[7, 0]",-7.403,12.501,-23.797,15.166,5.987,4.554,5.0,28.0,2.02
"fc1_weight[7, 1]",3.96,9.804,-9.322,22.294,4.684,3.562,5.0,25.0,2.15
"fc1_weight[7, 2]",0.19,0.391,-0.34,1.033,0.12,0.087,10.0,22.0,1.32
"fc1_weight[7, 3]",-0.043,9.016,-18.477,12.323,4.358,3.32,5.0,22.0,2.57
"fc1_weight[8, 0]",-1.117,8.156,-16.859,11.723,3.252,2.415,6.0,13.0,1.72
"fc1_weight[8, 1]",-3.202,13.121,-26.434,14.817,6.003,4.534,5.0,40.0,2.21
"fc1_weight[8, 2]",-2.114,4.459,-12.748,0.615,1.898,1.42,6.0,27.0,1.84
"fc1_weight[8, 3]",-2.008,5.278,-13.991,3.066,2.197,1.64,5.0,28.0,2.2
"fc1_weight[9, 0]",-2.632,7.536,-17.292,8.758,3.608,2.745,5.0,27.0,2.37
"fc1_weight[9, 1]",4.319,17.548,-26.887,26.115,8.611,6.576,5.0,34.0,2.26
"fc1_weight[9, 2]",-0.117,0.218,-0.562,0.252,0.083,0.062,7.0,66.0,1.52
"fc1_weight[9, 3]",0.363,1.479,-2.606,2.731,0.665,0.501,5.0,30.0,2.2
"fc1_weight[10, 0]",-5.699,5.113,-16.116,4.146,1.803,1.324,8.0,27.0,1.48
"fc1_weight[10, 1]",-0.492,15.005,-26.542,22.828,7.218,5.494,5.0,34.0,2.73
"fc1_weight[10, 2]",1.034,2.121,-0.93,5.769,0.917,0.687,5.0,28.0,2.02
"fc1_weight[10, 3]",6.029,10.872,-6.767,28.162,5.086,3.855,5.0,25.0,2.64
"fc1_weight[11, 0]",-6.63,15.735,-30.028,19.938,7.532,5.729,5.0,24.0,2.13
"fc1_weight[11, 1]",-4.682,13.584,-31.277,13.238,6.529,4.97,5.0,26.0,2.57
"fc1_weight[11, 2]",-0.369,1.147,-2.775,1.688,0.508,0.382,5.0,26.0,2.26
"fc1_weight[11, 3]",6.714,9.245,-1.899,24.941,4.415,3.357,5.0,33.0,2.14
"fc1_weight[12, 0]",7.084,7.736,-8.339,16.619,3.738,2.848,5.0,28.0,1.99
"fc1_weight[12, 1]",-9.354,15.319,-29.334,18.5,7.48,5.708,5.0,30.0,2.22
"fc1_weight[12, 2]",-0.493,0.643,-1.827,0.165,0.282,0.212,5.0,29.0,2.06
"fc1_weight[12, 3]",4.123,7.432,-1.333,19.794,3.436,2.599,5.0,27.0,2.3
"fc1_weight[13, 0]",-11.03,9.497,-29.09,-0.125,4.508,3.424,5.0,29.0,2.36
"fc1_weight[13, 1]",13.201,5.801,2.82,22.303,2.453,1.834,6.0,45.0,1.74
"fc1_weight[13, 2]",-0.004,0.548,-0.898,1.118,0.24,0.18,6.0,31.0,1.81
"fc1_weight[13, 3]",1.926,3.491,-2.889,8.44,1.611,1.218,5.0,29.0,2.73
"fc1_weight[14, 0]",2.346,13.446,-25.449,24.302,5.766,4.318,7.0,18.0,1.68
"fc1_weight[14, 1]",4.737,15.923,-14.543,35.338,6.729,5.031,7.0,19.0,1.83
"fc1_weight[14, 2]",0.555,0.804,-0.822,2.191,0.242,0.176,11.0,17.0,1.28
"fc1_weight[14, 3]",0.72,10.369,-13.23,19.592,4.979,3.789,5.0,33.0,2.21
