,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
fc1_bias[0],4.516,6.554,-9.479,16.0,2.707,2.018,6.0,11.0,1.89
fc1_bias[1],1.896,8.833,-14.136,19.085,3.878,2.913,5.0,18.0,2.26
fc1_bias[2],-8.266,6.593,-20.542,-1.147,2.956,2.227,5.0,28.0,2.24
fc1_bias[3],0.998,9.843,-11.768,16.036,4.666,3.544,6.0,41.0,1.91
fc1_bias[4],-0.377,7.647,-17.814,10.41,3.392,2.551,5.0,22.0,1.99
fc1_bias[5],-2.24,7.757,-14.317,12.134,3.717,2.828,5.0,24.0,2.57
fc1_bias[6],1.515,7.76,-13.191,13.228,3.629,2.75,5.0,36.0,2.11
fc1_bias[7],13.918,14.697,-4.266,39.584,7.069,5.381,5.0,21.0,2.87
fc1_bias[8],-2.04,16.507,-26.108,27.438,8.071,6.161,5.0,26.0,2.84
fc1_bias[9],5.702,11.844,-4.693,29.331,5.639,4.286,5.0,29.0,2.19
fc1_bias[10],0.741,7.49,-9.461,15.021,3.633,2.769,5.0,12.0,2.48
fc1_bias[11],-7.495,3.847,-14.022,-2.375,1.433,1.058,7.0,20.0,1.62
fc1_bias[12],1.436,4.964,-4.913,12.69,2.299,1.74,5.0,24.0,2.64
fc1_bias[13],4.044,11.257,-12.641,26.722,5.316,4.035,5.0,22.0,2.09
fc1_bias[14],-1.541,3.147,-6.441,3.329,1.537,1.173,5.0,15.0,2.79
fc1_bias[15],-8.444,7.402,-21.427,1.686,3.35,2.527,5.0,11.0,2.02
fc1_bias[16],3.112,4.498,-1.515,10.422,1.975,1.484,6.0,18.0,2.02
fc1_bias[17],-7.281,8.025,-19.867,6.172,3.762,2.852,5.0,21.0,2.08
fc1_bias[18],1.727,7.606,-9.253,16.026,2.648,1.943,7.0,19.0,1.8
fc1_bias[19],1.916,7.999,-13.535,13.398,3.737,2.832,5.0,28.0,2.18
fc1_bias[20],-3.83,7.017,-17.042,4.115,3.131,2.357,5.0,14.0,2.37
fc1_bias[21],2.752,5.093,-6.194,12.197,2.352,1.779,5.0,17.0,2.53
fc1_bias[22],-3.627,6.054,-12.264,7.385,2.87,2.18,5.0,18.0,2.39
fc1_bias[23],-4.25,8.818,-18.955,11.457,3.967,2.989,5.0,16.0,2.0
fc1_bias[24],0.963,4.922,-6.026,11.025,2.342,1.78,5.0,27.0,2.78
fc1_bias[25],0.485,3.893,-6.894,5.945,1.895,1.445,5.0,29.0,2.53
fc1_bias[26],-8.171,4.97,-16.771,0.193,2.075,1.549,6.0,20.0,1.68
fc1_bias[27],1.267,5.033,-2.423,13.422,1.752,1.369,8.0,28.0,1.95
fc1_bias_precision,0.015,0.008,0.004,0.029,0.002,0.002,10.0,32.0,1.32
"fc1_weight[0, 0]",-8.432,8.931,-26.312,5.288,3.909,2.935,6.0,28.0,1.87
"fc1_weight[0, 1]",4.98,7.843,-9.745,18.293,3.055,2.264,7.0,23.0,1.61
"fc1_weight[0, 2]",1.261,3.07,-0.772,7.913,1.26,0.938,6.0,17.0,1.76
"fc1_weight[0, 3]",0.138,2.464,-4.084,4.798,0.988,0.734,6.0,26.0,1.68
"fc1_weight[1, 0]",-1.642,7.669,-16.225,10.625,3.14,2.339,6.0,39.0,1.69
"fc1_weight[1, 1]",-0.253,11.889,-21.306,21.63,5.405,4.079,5.0,22.0,2.29
"fc1_weight[1, 2]",-1.05,6.183,-19.825,7.993,2.365,1.749,6.0,11.0,1.82
"fc1_weight[1, 3]",2.479,7.283,-15.126,12.508,3.246,2.443,5.0,16.0,2.17
"fc1_weight[2, 0]",-4.739,8.056,-18.646,9.365,3.826,2.907,5.0,20.0,2.64
"fc1_weight[2, 1]",6.495,7.91,-7.621,19.74,3.725,2.826,5.0,22.0,2.41
"fc1_weight[2, 2]",-0.179,0.42,-0.913,0.483,0.139,0.101,8.0,60.0,1.49
"fc1_weight[2, 3]",0.362,7.902,-14.396,14.349,3.767,2.863,5.0,26.0,2.87
"fc1_weight[3, 0]",4.08,8.712,-13.95,15.815,3.55,2.643,6.0,29.0,1.85
"fc1_weight[3, 1]",-7.394,8.126,-22.145,5.634,3.618,2.722,5.0,41.0,2.0
"fc1_weight[3, 2]",-3.329,6.587,-17.576,1.654,3.05,2.308,5.0,34.0,2.26
"fc1_weight[3, 3]",2.235,5.591,-8.892,11.438,2.52,1.9,5.0,30.0,2.1
"fc1_weight[4, 0]",0.87,8.91,-15.708,17.198,3.546,2.633,6.0,16.0,1.78
"fc1_weight[4, 1]",2.541,7.046,-10.763,18.013,2.92,2.178,6.0,13.0,1.87
