Z,A,pairing,shell,Mexp,Mth_ws4,ws4_residuals
8,16,1.0,0.0,-4.737,-4.3661,-0.3708999999999998
8,17,0.0,0.0,-0.8088,-1.0148,0.20599999999999996
9,17,0.0,0.0,1.9517,1.8046,0.1471
8,18,1.0,0.0,-0.7828,-1.4553,0.6725
9,18,-1.0,0.5,0.8731,-0.0744,0.9475
10,18,1.0,0.0,5.3176,4.8103,0.5072999999999999
8,19,0.0,0.0,3.3329,2.8658,0.46709999999999985
9,19,0.0,0.6666666666666666,-1.4874,-2.2846,0.7972000000000001
10,19,0.0,0.6666666666666666,1.7521,0.9438,0.8083
11,19,0.0,0.0,12.9294,13.0917,-0.1623000000000001
8,20,1.0,0.0,3.7962,3.2666,0.5295999999999998
9,20,-1.0,0.75,-0.0175,0.0403,-0.057800000000000004
10,20,1.0,1.0,-7.0419,-6.6245,-0.41739999999999977
11,20,-1.0,0.75,6.8505,7.1032,-0.2526999999999999
12,20,1.0,0.0,17.4777,17.9183,-0.4405999999999999
8,21,0.0,0.0,8.062,7.7977,0.26429999999999954
9,21,0.0,0.8,-0.0476,-0.6654,0.6178
10,21,0.0,1.2,-5.7318,-5.3147,-0.4170999999999996
11,21,0.0,1.2,-2.1849,-1.7105,-0.47439999999999993
12,21,0.0,0.8,10.9039,10.7154,0.18849999999999945
8,22,1.0,0.0,9.283,8.895,0.3879999999999999
9,22,-1.0,0.8333333333333334,2.7934,2.457,0.33640000000000025
10,22,1.0,1.3333333333333333,-8.0247,-7.8955,-0.1291999999999991
11,22,-1.0,1.5,-5.1814,-5.22,0.038599999999999746
12,22,1.0,1.3333333333333333,-0.4,-0.1544,-0.2456
9,23,0.0,0.8571428571428571,3.2853,3.041,0.24429999999999996
10,23,0.0,1.4285714285714286,-5.154,-5.3162,0.16220000000000034
11,23,0.0,1.7142857142857142,-9.5299,-8.8908,-0.6390999999999991
12,23,0.0,1.7142857142857142,-5.4737,-4.9501,-0.5236000000000001
13,23,0.0,1.4285714285714286,6.7481,7.127,-0.3788999999999998
9,24,-1.0,0.8333333333333334,7.5445,7.505,0.03950000000000031
10,24,1.0,1.5,-5.9516,-6.1834,0.23179999999999978
11,24,-1.0,1.875,-8.4179,-7.9653,-0.45259999999999945
12,24,1.0,2.0,-13.9336,-13.2065,-0.7271000000000001
13,24,-1.0,1.875,-0.0488,0.5201,-0.5689
14,24,1.0,1.5,10.7452,11.337,-0.5917999999999992
9,25,0.0,0.8,11.3342,10.3562,0.9779999999999998
10,25,0.0,1.4285714285714286,-2.0355,-2.0248,-0.010699999999999932
11,25,0.0,2.0,-9.3578,-9.7505,0.3927000000000014
12,25,0.0,2.2222222222222223,-13.1928,-12.8996,-0.29320000000000057
13,25,0.0,2.2222222222222223,-8.916,-8.6195,-0.2965
14,25,0.0,2.0,3.8273,3.7006,0.12670000000000003
10,26,1.0,1.3333333333333333,0.4811,-0.6471,1.1282
11,26,-1.0,1.875,-6.8608,-7.087,0.2261999999999995
12,26,1.0,2.4,-16.2145,-16.3783,0.1637999999999984
13,26,-1.0,2.5,-12.2101,-12.8227,0.6125999999999987
14,26,1.0,2.4,-7.141,-7.2459,0.10489999999999977
10,27,0.0,1.2,7.0509,6.11,0.9409000000000001
11,27,0.0,1.7142857142857142,-5.5178,-6.473,0.9551999999999996
12,27,0.0,2.2222222222222223,-14.5866,-14.3557,-0.2309000000000001
13,27,0.0,2.727272727272727,-17.1969,-17.1595,-0.0373999999999981
14,27,0.0,2.727272727272727,-12.3845,-12.5498,0.16530000000000022
15,27,0.0,2.2222222222222223,-0.659,-0.0253,-0.6337
11,28,-1.0,1.5,-0.9883,-1.4545,0.46619999999999995
12,28,1.0,2.0,-15.0199,-15.3474,0.32750000000000057
13,28,-1.0,2.5,-16.8507,-16.6674,-0.18329999999999913
14,28,1.0,3.0,-21.4928,-21.2638,-0.2289999999999992
15,28,-1.0,2.5,-7.1479,-6.917,-0.2309000000000001
11,29,0.0,1.2,2.68,1.8535,0.8265000000000002
12,29,0.0,1.7142857142857142,-10.6124,-11.0569,0.44450000000000145
13,29,0.0,2.2222222222222223,-18.2078,-18.5714,0.3636000000000017
14,29,0.0,2.727272727272727,-21.8951,-21.2405,-0.6545999999999985
15,29,0.0,2.727272727272727,-16.9528,-16.2846,-0.6681999999999988
16,29,0.0,2.2222222222222223,-3.0944,-3.421,0.3266
11,30,-1.0,0.75,8.4747,8.3536,0.12110000000000021
12,30,1.0,1.3333333333333333,-8.8814,-9.4973,0.6158999999999999
13,30,-1.0,1.875,-15.8641,-15.8438,-0.02030000000000065
14,30,1.0,2.4,-24.433,-24.6762,0.24320000000000164
15,30,-1.0,2.5,-20.2009,-20.2465,0.04560000000000031
16,30,1.0,2.4,-14.0593,-14.474,0.41469999999999985
17,30,-1.0,1.875,4.6745,5.2392,-0.5647000000000002
11,31,0.0,0.0,12.246,12.6313,-0.3852999999999991
12,31,0.0,0.8,-3.1222,-3.733,0.6108000000000002
13,31,0.0,1.4285714285714286,-14.9507,-15.1872,0.23650000000000126
14,31,0.0,2.0,-22.949,-22.6687,-0.28030000000000044
15,31,0.0,2.2222222222222223,-24.4405,-24.1902,-0.2502999999999993
16,31,0.0,2.2222222222222223,-19.0425,-18.9612,-0.08129999999999882
17,31,0.0,2.0,-7.0346,-6.6634,-0.3712
11,32,-1.0,0.75,18.6402,19.4781,-0.8379000000000012
12,32,1.0,0.0,-0.8289,-0.7437,-0.08519999999999994
