,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
fc1_bias[0],-11.391,11.285,-28.637,1.432,5.316,4.033,5.0,24.0,2.22
fc1_bias[1],-6.507,16.431,-39.249,10.359,8.063,6.158,5.0,22.0,2.57
fc1_bias[2],9.149,7.733,-0.558,17.993,2.998,2.221,6.0,25.0,1.89
fc1_bias[3],3.948,18.059,-17.262,37.496,8.749,6.667,5.0,25.0,2.6
fc1_bias[4],7.262,15.029,-8.564,40.984,7.14,5.425,5.0,23.0,2.89
fc1_bias[5],3.415,11.71,-15.296,23.772,5.631,4.286,4.0,11.0,3.26
fc1_bias[6],0.714,8.435,-16.134,12.065,4.08,3.108,5.0,46.0,2.58
fc1_bias[7],0.529,16.683,-32.018,16.488,8.181,6.247,6.0,36.0,1.91
fc1_bias[8],-8.007,5.276,-18.528,-2.076,2.356,1.774,5.0,20.0,2.08
fc1_bias[9],6.648,16.609,-11.918,38.988,7.982,6.075,5.0,31.0,2.36
fc1_bias[10],-5.429,4.584,-12.314,1.257,2.104,1.59,5.0,15.0,2.5
fc1_bias[11],4.306,16.369,-24.246,26.833,7.838,5.962,5.0,27.0,2.11
fc1_bias[12],0.212,7.655,-15.248,12.408,3.644,2.769,5.0,38.0,2.82
fc1_bias[13],-3.968,19.179,-42.979,25.311,9.184,6.986,5.0,21.0,2.89
fc1_bias[14],1.833,3.079,-3.018,6.608,1.475,1.122,5.0,17.0,2.26
fc1_bias[15],2.986,10.682,-15.345,20.361,5.061,3.843,5.0,32.0,2.43
fc1_bias[16],3.605,9.833,-15.018,14.752,4.695,3.57,5.0,15.0,2.15
fc1_bias[17],-3.684,7.027,-12.626,10.453,3.379,2.572,5.0,28.0,2.24
fc1_bias[18],0.869,11.147,-11.054,20.939,5.455,4.164,5.0,21.0,2.3
fc1_bias[19],-5.827,9.759,-25.63,4.141,4.692,3.571,5.0,23.0,2.76
fc1_bias[20],-14.425,18.768,-47.434,11.461,9.087,6.925,5.0,34.0,2.49
fc1_bias[21],-12.145,15.647,-41.49,0.831,7.613,5.806,5.0,13.0,3.03
fc1_bias[22],1.128,5.786,-11.686,8.306,2.777,2.113,6.0,15.0,1.96
fc1_bias[23],-3.78,12.729,-25.093,17.75,6.204,4.733,5.0,33.0,2.58
fc1_bias[24],4.742,12.181,-15.032,25.953,5.76,4.373,5.0,44.0,2.57
fc1_bias[25],-5.117,15.974,-34.721,18.874,7.746,5.904,5.0,16.0,2.95
fc1_bias[26],-3.593,5.74,-12.103,2.073,2.511,1.886,5.0,17.0,2.98
fc1_bias[27],-3.93,12.711,-23.229,16.02,6.223,4.751,5.0,32.0,2.8
fc1_bias_precision,0.007,0.004,0.002,0.015,0.001,0.001,7.0,27.0,1.51
"fc1_weight[0, 0]",-1.747,12.771,-22.946,21.719,5.946,4.503,5.0,23.0,2.44
"fc1_weight[0, 1]",5.362,11.59,-9.878,26.047,4.721,3.514,7.0,39.0,1.72
"fc1_weight[0, 2]",-0.176,0.511,-1.039,0.807,0.198,0.147,6.0,12.0,1.77
"fc1_weight[0, 3]",-1.431,4.956,-12.883,2.892,1.942,1.44,5.0,11.0,2.19
"fc1_weight[1, 0]",-0.374,6.272,-11.201,9.627,2.714,2.035,6.0,39.0,1.75
"fc1_weight[1, 1]",-2.132,15.545,-28.701,16.55,7.524,5.733,5.0,28.0,2.23
"fc1_weight[1, 2]",-2.66,5.37,-13.666,1.395,2.45,1.85,5.0,25.0,2.49
"fc1_weight[1, 3]",1.317,9.373,-13.443,19.464,4.45,3.381,5.0,22.0,2.89
"fc1_weight[2, 0]",-6.24,10.655,-23.317,13.306,5.1,3.879,5.0,16.0,2.49
"fc1_weight[2, 1]",-0.019,11.172,-20.794,14.006,5.363,4.081,5.0,18.0,2.71
"fc1_weight[2, 2]",-0.228,0.311,-0.877,0.277,0.115,0.085,7.0,24.0,1.56
"fc1_weight[2, 3]",3.286,6.553,-3.752,16.732,3.155,2.402,5.0,21.0,2.65
"fc1_weight[3, 0]",-1.836,6.398,-13.179,7.732,3.043,2.312,5.0,32.0,2.37
"fc1_weight[3, 1]",10.985,7.314,-0.334,21.483,3.13,2.344,6.0,21.0,1.81
"fc1_weight[3, 2]",-0.144,0.169,-0.461,0.205,0.028,0.02,39.0,31.0,1.11
"fc1_weight[3, 3]",-0.519,4.188,-5.66,7.44,2.009,1.528,5.0,21.0,2.24
"fc1_weight[4, 0]",3.511,5.932,-8.205,14.734,2.494,1.864,5.0,21.0,2.11
"fc1_weight[4, 1]",0.094,6.266,-8.453,13.018,2.621,1.957,7.0,37.0,1.6
"fc1_weight[4, 2]",-2.177,3.459,-9.882,0.688,1.58,1.194,5.0,40.0,2.2
"fc1_weight[4, 3]",3.281,7.55,-9.162,17.511,3.51,2.658,5.0,23.0,2.48
"fc1_weight[5, 0]",-5.113,12.561,-30.878,11.689,5.87,4.448,5.0,11.0,2.23
"fc1_weight[5, 1]",-0.039,9.679,-15.111,18.02,4.527,3.431,5.0,11.0,2.59
"fc1_weight[5, 2]",0.391,0.824,-0.591,2.246,0.346,0.258,7.0,24.0,1.74
"fc1_weight[5, 3]",0.938,8.472,-16.288,17.401,4.05,3.08,5.0,11.0,3.16
"fc1_weight[6, 0]",-11.237,6.565,-24.373,-1.509,2.905,2.185,6.0,32.0,1.85
"fc1_weight[6, 1]",10.464,11.733,-6.492,28.447,5.594,4.252,5.0,25.0,2.31
"fc1_weight[6, 2]",-0.073,0.691,-1.051,1.327,0.26,0.192,6.0,49.0,1.95
"fc1_weight[6, 3]",3.696,7.334,-5.503,17.392,3.388,2.563,5.0,45.0,2.79
"fc1_weight[7, 0]",3.733,9.884,-13.786,21.851,4.686,3.559,5.0,26.0,2.57
"fc1_weight[7, 1]",-5.887,13.246,-25.272,16.104,6.32,4.805,5.0,23.0,2.2
"fc1_weight[7, 2]",-3.86,7.092,-18.765,0.903,3.416,2.601,5.0,34.0,2.36
"fc1_weight[7, 3]",2.918,8.379,-8.744,19.934,4.026,3.064,5.0,33.0,2.55
"fc1_weight[8, 0]",-7.306,16.091,-28.479,20.556,7.566,5.739,6.0,34.0,1.98
"fc1_weight[8, 1]",-2.984,12.868,-24.191,20.93,6.203,4.723,5.0,26.0,2.76
"fc1_weight[8, 2]",-0.11,0.338,-0.771,0.505,0.117,0.086,8.0,54.0,1.45
"fc1_weight[8, 3]",0.587,2.737,-3.87,6.546,1.232,0.928,5.0,23.0,2.03
"fc1_weight[9, 0]",3.124,11.466,-14.645,22.763,5.491,4.177,5.0,23.0,2.87
"fc1_weight[9, 1]",9.398,7.188,-5.175,21.622,3.143,2.36,5.0,23.0,2.04
"fc1_weight[9, 2]",-0.089,0.258,-0.489,0.434,0.099,0.073,7.0,76.0,1.6
"fc1_weight[9, 3]",0.433,2.425,-3.095,4.07,1.153,0.876,5.0,61.0,1.99
"fc1_weight[10, 0]",-11.511,11.556,-29.25,4.852,5.496,4.176,5.0,21.0,2.17
"fc1_weight[10, 1]",4.343,12.448,-16.96,21.807,5.962,4.535,5.0,25.0,2.17
"fc1_weight[10, 2]",-0.197,0.287,-0.785,0.29,0.089,0.065,11.0,42.0,1.29
"fc1_weight[10, 3]",-2.246,7.589,-19.179,7.56,3.513,2.658,5.0,20.0,2.72
"fc1_weight[11, 0]",-11.677,7.519,-23.638,0.701,3.419,2.58,5.0,29.0,2.04
"fc1_weight[11, 1]",9.887,17.272,-22.121,35.437,8.325,6.339,5.0,32.0,2.69
"fc1_weight[11, 2]",0.01,0.329,-0.431,0.564,0.092,0.066,7.0,24.0,1.53
"fc1_weight[11, 3]",0.29,2.294,-2.12,3.182,0.603,0.436,7.0,29.0,1.73
"fc1_weight[12, 0]",5.363,8.587,-12.11,16.026,4.039,3.064,6.0,40.0,1.89
"fc1_weight[12, 1]",-0.432,12.147,-20.098,18.732,5.928,4.523,5.0,23.0,2.92
"fc1_weight[12, 2]",0.083,0.18,-0.292,0.421,0.049,0.035,14.0,53.0,1.23
"fc1_weight[12, 3]",-1.616,2.294,-5.762,2.256,1.069,0.809,5.0,34.0,2.43
"fc1_weight[13, 0]",2.898,6.604,-10.942,11.744,2.357,1.733,7.0,39.0,1.55
"fc1_weight[13, 1]",-11.645,8.195,-28.742,-2.701,3.021,2.227,8.0,97.0,1.46
"fc1_weight[13, 2]",-0.088,0.452,-0.627,0.722,0.124,0.09,9.0,68.0,1.34
"fc1_weight[13, 3]",2.697,4.923,-2.195,13.444,2.186,1.645,6.0,21.0,2.1
"fc1_weight[14, 0]",-12.082,6.963,-22.567,-0.66,3.177,2.399,5.0,17.0,2.14
"fc1_weight[14, 1]",7.846,7.189,-5.828,20.898,3.168,2.381,5.0,46.0,2.1
"fc1_weight[14, 2]",0.068,0.277,-0.392,0.587,0.119,0.089,6.0,23.0,1.85
"fc1_weight[14, 3]",2.401,3.256,-1.614,8.293,1.548,1.176,5.0,25.0,2.34
"fc1_weight[15, 0]",2.04,6.884,-9.074,11.083,2.717,2.016,7.0,29.0,1.62
"fc1_weight[15, 1]",-0.649,11.141,-18.031,15.719,5.325,4.049,5.0,28.0,2.36
"fc1_weight[15, 2]",-1.889,4.171,-10.876,1.225,1.926,1.457,6.0,25.0,1.85
"fc1_weight[15, 3]",-2.865,4.248,-10.77,2.242,1.888,1.421,5.0,34.0,2.3
"fc1_weight[16, 0]",3.804,8.547,-9.604,17.616,3.706,2.779,6.0,27.0,1.75
"fc1_weight[16, 1]",3.657,5.528,-6.067,12.929,2.117,1.566,8.0,35.0,1.48
"fc1_weight[16, 2]",-1.447,4.123,-13.081,1.668,1.741,1.384,7.0,17.0,1.79
"fc1_weight[16, 3]",1.372,3.709,-3.263,9.265,1.669,1.258,5.0,27.0,2.74
"fc1_weight[17, 0]",6.544,8.529,-6.344,23.405,3.981,3.016,5.0,28.0,2.66
"fc1_weight[17, 1]",-3.981,11.401,-18.59,19.807,5.489,4.179,5.0,12.0,2.69
"fc1_weight[17, 2]",0.231,0.364,-0.459,0.986,0.136,0.101,7.0,28.0,1.63
"fc1_weight[17, 3]",6.591,5.652,0.972,18.341,2.532,1.907,5.0,29.0,2.66
"fc1_weight[18, 0]",0.966,8.628,-13.724,12.23,3.946,2.981,6.0,14.0,2.17
"fc1_weight[18, 1]",5.845,15.217,-17.201,26.481,7.372,5.618,5.0,26.0,2.37
"fc1_weight[18, 2]",0.058,0.324,-0.517,0.59,0.091,0.066,10.0,16.0,1.38
"fc1_weight[18, 3]",2.36,3.652,-0.362,8.964,1.599,1.201,5.0,12.0,2.19
"fc1_weight[19, 0]",0.323,5.947,-9.952,9.745,2.793,2.118,5.0,21.0,2.47
"fc1_weight[19, 1]",-2.382,9.968,-23.492,12.252,4.701,3.567,5.0,20.0,2.31
"fc1_weight[19, 2]",-0.01,0.172,-0.344,0.237,0.05,0.036,10.0,237.0,1.33
"fc1_weight[19, 3]",-1.322,1.852,-4.487,0.708,0.861,0.652,5.0,21.0,2.71
"fc1_weight[20, 0]",-1.374,13.93,-16.456,26.489,6.68,5.082,5.0,35.0,2.13
"fc1_weight[20, 1]",0.685,15.079,-25.598,21.536,7.268,5.534,5.0,30.0,2.56
"fc1_weight[20, 2]",-0.459,2.242,-5.653,1.601,0.884,0.656,9.0,12.0,1.4
"fc1_weight[20, 3]",2.831,4.868,-3.475,11.135,2.242,1.695,5.0,30.0,2.26
"fc1_weight[21, 0]",-6.898,11.131,-19.629,14.436,5.222,3.959,7.0,49.0,1.62
"fc1_weight[21, 1]",-1.577,10.53,-20.003,14.42,5.038,3.832,5.0,22.0,2.44
"fc1_weight[21, 2]",-0.33,1.229,-2.719,1.668,0.59,0.449,5.0,13.0,3.0
"fc1_weight[21, 3]",-4.25,8.968,-22.38,5.359,4.378,3.341,5.0,14.0,2.7
"fc1_weight[22, 0]",12.655,15.734,-16.405,35.522,7.421,5.632,6.0,29.0,1.97
"fc1_weight[22, 1]",-3.179,9.679,-19.107,8.588,4.595,3.49,6.0,42.0,1.81
"fc1_weight[22, 2]",0.089,0.31,-0.628,0.589,0.108,0.079,8.0,18.0,1.43
"fc1_weight[22, 3]",0.461,3.729,-5.83,7.874,1.789,1.362,5.0,15.0,2.85
"fc1_weight[23, 0]",-2.641,15.786,-24.254,29.731,7.513,5.709,5.0,14.0,2.75
"fc1_weight[23, 1]",3.974,8.27,-10.625,19.529,3.72,2.804,5.0,21.0,2.17
"fc1_weight[23, 2]",1.754,3.402,-0.403,9.327,1.478,1.108,5.0,21.0,2.71
"fc1_weight[23, 3]",-3.587,6.446,-17.09,3.01,2.941,2.221,5.0,28.0,2.43
"fc1_weight[24, 0]",4.196,6.93,-9.275,16.641,2.727,2.023,6.0,42.0,1.67
"fc1_weight[24, 1]",-7.958,8.823,-23.119,10.295,3.698,2.762,6.0,28.0,1.89
"fc1_weight[24, 2]",4.353,8.573,-3.016,22.985,4.053,3.077,6.0,30.0,1.99
"fc1_weight[24, 3]",1.596,12.747,-19.814,20.831,6.064,4.608,5.0,47.0,2.32
"fc1_weight[25, 0]",-1.552,10.225,-18.275,15.247,4.673,3.529,5.0,19.0,2.3
"fc1_weight[25, 1]",-10.74,6.202,-22.127,-0.772,2.436,1.807,7.0,54.0,1.64
"fc1_weight[25, 2]",-1.844,2.905,-7.445,0.229,1.4,1.066,6.0,15.0,1.86
"fc1_weight[25, 3]",1.635,1.617,-0.349,4.403,0.603,0.445,7.0,109.0,1.58
"fc1_weight[26, 0]",-1.263,11.322,-23.269,9.319,5.449,4.148,6.0,49.0,1.72
"fc1_weight[26, 1]",-5.125,13.348,-22.046,19.196,6.375,4.847,5.0,17.0,2.24
"fc1_weight[26, 2]",-0.037,1.651,-0.55,0.108,0.218,0.164,7.0,25.0,1.52
"fc1_weight[26, 3]",0.507,1.567,-1.422,2.696,0.417,0.301,7.0,29.0,1.8
"fc1_weight[27, 0]",1.726,8.57,-9.16,17.668,3.499,2.605,6.0,17.0,1.84
"fc1_weight[27, 1]",-1.448,17.872,-26.007,23.44,8.559,6.511,6.0,44.0,1.85
"fc1_weight[27, 2]",-0.107,0.405,-0.666,0.645,0.175,0.131,6.0,45.0,1.8
"fc1_weight[27, 3]",0.31,3.062,-4.449,6.359,1.45,1.101,5.0,19.0,2.44
fc1_weight_precision,0.012,0.004,0.006,0.019,0.001,0.001,8.0,25.0,1.42
fc2_bias[0],-0.198,0.214,-0.629,0.14,0.089,0.067,5.0,32.0,2.04
fc2_bias_precision,19.987,13.134,1.643,43.562,1.901,1.353,36.0,223.0,1.08
"fc2_weight[0, 0]",-0.273,0.154,-0.553,-0.075,0.071,0.054,5.0,15.0,2.43
"fc2_weight[0, 1]",0.219,0.265,-0.161,0.585,0.129,0.098,5.0,14.0,2.42
"fc2_weight[0, 2]",0.272,0.114,0.08,0.465,0.052,0.039,5.0,12.0,2.25
"fc2_weight[0, 3]",-0.215,0.517,-0.875,0.738,0.249,0.19,5.0,35.0,2.24
"fc2_weight[0, 4]",0.091,0.219,-0.296,0.38,0.107,0.082,5.0,22.0,2.66
"fc2_weight[0, 5]",-0.106,0.351,-0.768,0.31,0.171,0.13,5.0,26.0,2.38
"fc2_weight[0, 6]",-0.155,0.31,-0.68,0.356,0.15,0.115,5.0,19.0,3.03
"fc2_weight[0, 7]",-0.206,0.379,-0.866,0.25,0.185,0.141,5.0,20.0,2.9
"fc2_weight[0, 8]",0.068,0.388,-0.711,0.491,0.189,0.144,5.0,23.0,2.42
"fc2_weight[0, 9]",-0.376,0.248,-0.905,-0.16,0.119,0.091,6.0,18.0,1.69
"fc2_weight[0, 10]",-0.012,0.266,-0.411,0.361,0.13,0.099,5.0,25.0,2.39
"fc2_weight[0, 11]",-0.237,0.252,-0.582,0.223,0.122,0.093,5.0,24.0,2.45
"fc2_weight[0, 12]",-0.13,0.34,-0.458,0.526,0.167,0.127,5.0,28.0,2.06
"fc2_weight[0, 13]",-0.017,0.463,-0.533,0.778,0.227,0.173,5.0,31.0,2.28
"fc2_weight[0, 14]",-0.265,0.056,-0.37,-0.169,0.017,0.013,10.0,35.0,1.31
