,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
fc1_bias[0],-1.98,7.953,-13.098,12.595,3.891,2.97,5.0,26.0,2.81
fc1_bias[1],0.168,1.567,-2.815,2.792,0.711,0.536,5.0,13.0,2.38
fc1_bias[2],3.283,4.194,-4.527,8.208,2.008,1.527,6.0,25.0,1.93
fc1_bias[3],-0.982,2.88,-5.325,3.294,1.272,0.956,7.0,20.0,1.62
fc1_bias[4],0.294,6.147,-7.24,12.0,2.966,2.259,5.0,30.0,2.28
fc1_bias[5],2.643,6.659,-7.342,14.154,3.214,2.448,5.0,30.0,2.77
fc1_bias[6],-2.22,4.072,-10.391,3.481,1.951,1.484,5.0,12.0,2.87
fc1_bias[7],-1.057,6.357,-7.919,10.889,3.1,2.366,5.0,12.0,2.13
fc1_bias[8],-4.208,3.881,-9.676,2.514,1.837,1.395,5.0,38.0,2.09
fc1_bias[9],-0.904,10.462,-20.206,12.802,5.113,3.902,5.0,29.0,2.77
fc1_bias[10],0.708,9.516,-14.304,20.72,4.576,3.483,5.0,11.0,2.98
fc1_bias[11],-2.869,4.134,-9.974,3.765,1.973,1.5,5.0,28.0,2.67
fc1_bias[12],3.544,6.283,-5.35,13.356,2.993,2.275,5.0,24.0,2.14
fc1_bias[13],4.017,9.828,-14.832,18.612,4.735,3.606,5.0,20.0,2.72
fc1_bias[14],6.778,7.387,-6.218,17.985,3.495,2.653,5.0,29.0,2.36
fc1_bias[15],0.335,4.675,-9.056,10.313,2.079,1.564,5.0,13.0,2.36
fc1_bias[16],0.735,7.328,-12.173,13.423,3.44,2.608,5.0,22.0,2.87
fc1_bias[17],0.163,6.08,-9.267,10.837,2.773,2.094,5.0,30.0,2.05
fc1_bias[18],1.157,7.673,-9.182,16.261,3.541,2.678,5.0,23.0,2.21
fc1_bias[19],-2.784,5.732,-14.175,5.401,2.537,1.908,6.0,35.0,1.92
fc1_bias[20],-5.428,12.333,-30.468,7.217,6.012,4.587,5.0,20.0,2.84
fc1_bias[21],-0.649,4.065,-8.593,6.501,1.938,1.473,5.0,13.0,3.02
fc1_bias[22],-1.714,5.596,-9.932,6.153,2.578,1.949,6.0,58.0,1.84
fc1_bias[23],-2.206,14.354,-25.1,21.913,6.907,5.258,5.0,33.0,2.66
fc1_bias[24],5.991,8.661,-2.944,22.273,4.093,3.107,5.0,22.0,2.69
fc1_bias[25],-2.616,4.141,-11.01,4.189,1.953,1.482,5.0,11.0,2.82
fc1_bias[26],0.154,12.061,-19.376,21.535,5.845,4.455,5.0,22.0,2.92
fc1_bias[27],-6.638,9.998,-25.688,2.449,4.888,3.731,5.0,11.0,3.06
fc1_bias_precision,0.023,0.013,0.005,0.045,0.005,0.004,6.0,27.0,1.69
"fc1_weight[0, 0]",-2.893,12.184,-20.911,20.493,5.885,4.483,5.0,26.0,2.78
"fc1_weight[0, 1]",3.085,10.032,-10.755,20.725,4.861,3.705,5.0,27.0,2.58
"fc1_weight[0, 2]",-0.094,0.271,-0.551,0.365,0.119,0.09,6.0,32.0,1.91
"fc1_weight[0, 3]",-1.799,2.619,-5.286,3.52,1.251,0.951,5.0,25.0,2.2
"fc1_weight[1, 0]",-4.133,4.714,-11.213,3.218,1.763,1.301,8.0,57.0,1.45
"fc1_weight[1, 1]",2.882,10.367,-14.914,18.104,4.786,3.62,6.0,14.0,1.99
"fc1_weight[1, 2]",-0.037,0.406,-0.686,0.688,0.154,0.114,7.0,19.0,1.56
"fc1_weight[1, 3]",0.133,5.156,-8.93,11.3,2.317,1.746,5.0,18.0,2.73
"fc1_weight[2, 0]",7.306,11.819,-11.34,26.522,5.709,4.349,5.0,25.0,2.57
"fc1_weight[2, 1]",-1.099,11.15,-21.158,12.796,5.387,4.103,5.0,25.0,2.21
"fc1_weight[2, 2]",0.096,0.299,-0.29,0.865,0.106,0.078,9.0,16.0,1.41
"fc1_weight[2, 3]",-1.394,2.218,-5.894,1.212,0.965,0.724,5.0,18.0,2.7
"fc1_weight[3, 0]",-15.626,11.025,-33.808,-1.895,4.876,3.666,6.0,53.0,1.8
"fc1_weight[3, 1]",-4.261,6.019,-15.742,3.853,2.48,1.849,5.0,18.0,2.11
"fc1_weight[3, 2]",0.027,0.302,-0.5,0.617,0.085,0.061,14.0,27.0,1.21
"fc1_weight[3, 3]",-4.313,6.603,-17.989,0.973,3.13,2.377,5.0,26.0,2.04
"fc1_weight[4, 0]",-1.383,11.146,-14.097,21.319,5.395,4.111,5.0,28.0,2.15
"fc1_weight[4, 1]",-0.165,2.887,-4.921,4.269,1.12,0.83,8.0,25.0,1.47
"fc1_weight[4, 2]",0.034,0.137,-0.16,0.318,0.046,0.034,9.0,67.0,1.38
"fc1_weight[4, 3]",-0.202,1.14,-2.05,2.139,0.515,0.388,5.0,29.0,2.27
"fc1_weight[5, 0]",1.11,9.831,-14.272,17.359,4.744,3.613,5.0,29.0,2.69
"fc1_weight[5, 1]",2.001,13.31,-14.844,26.722,5.35,3.977,8.0,14.0,2.28
"fc1_weight[5, 2]",-0.06,0.35,-0.526,0.32,0.083,0.06,8.0,99.0,1.45
"fc1_weight[5, 3]",-0.778,3.145,-4.11,4.095,1.329,0.994,5.0,12.0,2.06
"fc1_weight[6, 0]",-1.866,6.082,-12.299,7.911,2.62,1.963,6.0,37.0,1.74
"fc1_weight[6, 1]",3.885,12.345,-17.506,20.181,5.773,4.375,5.0,24.0,2.12
"fc1_weight[6, 2]",-0.005,0.499,-0.844,1.135,0.216,0.162,6.0,27.0,1.91
"fc1_weight[6, 3]",-4.495,5.726,-14.516,1.874,2.544,1.914,5.0,30.0,2.2
"fc1_weight[7, 0]",-0.51,9.216,-13.955,11.847,4.47,3.407,5.0,31.0,2.18
"fc1_weight[7, 1]",2.842,11.438,-13.607,19.143,5.559,4.239,5.0,29.0,2.24
"fc1_weight[7, 2]",-0.264,0.299,-0.897,0.111,0.121,0.09,7.0,56.0,1.55
"fc1_weight[7, 3]",2.184,4.011,-1.0,10.276,1.902,1.445,5.0,27.0,2.39
"fc1_weight[8, 0]",8.975,9.643,-6.899,23.248,4.543,3.447,5.0,15.0,2.3
"fc1_weight[8, 1]",7.192,9.173,-6.353,23.517,4.119,3.104,5.0,25.0,2.1
"fc1_weight[8, 2]",0.111,0.197,-0.196,0.432,0.028,0.02,23.0,56.0,1.13
"fc1_weight[8, 3]",-0.256,1.363,-2.533,2.568,0.524,0.388,6.0,28.0,1.86
"fc1_weight[9, 0]",3.311,10.696,-18.014,22.902,4.943,3.739,5.0,18.0,2.61
"fc1_weight[9, 1]",-0.23,4.964,-9.9,10.013,1.438,1.043,11.0,18.0,1.34
"fc1_weight[9, 2]",0.24,0.345,-0.397,0.828,0.144,0.108,6.0,23.0,1.68
"fc1_weight[9, 3]",2.244,2.592,-3.841,6.162,1.127,0.846,6.0,15.0,1.7
"fc1_weight[10, 0]",-5.553,8.641,-19.107,8.779,3.635,2.716,7.0,130.0,1.65
"fc1_weight[10, 1]",3.913,7.681,-7.57,17.892,2.816,2.075,9.0,47.0,1.41
"fc1_weight[10, 2]",0.245,0.729,-1.116,1.581,0.207,0.15,10.0,33.0,1.38
"fc1_weight[10, 3]",-2.336,7.842,-21.691,8.051,3.477,2.615,5.0,14.0,2.68
"fc1_weight[11, 0]",-3.059,9.645,-20.794,12.166,4.622,3.516,5.0,29.0,2.79
"fc1_weight[11, 1]",-0.61,10.142,-14.262,18.602,4.857,3.694,5.0,31.0,2.11
"fc1_weight[11, 2]",0.3,0.379,-0.149,1.124,0.148,0.11,8.0,30.0,1.49
"fc1_weight[11, 3]",-1.103,5.903,-12.326,6.66,2.846,2.167,5.0,29.0,2.2
"fc1_weight[12, 0]",3.374,10.93,-16.645,18.56,5.195,3.947,5.0,25.0,2.21
"fc1_weight[12, 1]",8.241,7.069,0.547,22.816,3.295,2.496,7.0,25.0,1.61
"fc1_weight[12, 2]",0.035,0.432,-0.727,0.854,0.178,0.132,6.0,32.0,1.72
"fc1_weight[12, 3]",5.934,6.975,-2.493,18.526,3.289,2.496,5.0,28.0,2.69
"fc1_weight[13, 0]",-10.678,6.425,-23.488,-0.48,2.391,1.764,8.0,39.0,1.47
"fc1_weight[13, 1]",2.382,9.54,-15.208,15.743,4.53,3.441,5.0,30.0,2.21
